swedish_name;english_name;latin_name
Lax;Atlantic salmon;Salmo salar
Öring;Brown trout;Salmo trutta
Röding;Arctic char;Salvelinus alpinus
Bäckröding;Brook charr;Salvelinus fontinalis
Kanadaröding;Lake trout;Salvelinus namaycush
Gös;Zander;Sander lucioperca
Ryggstrimmig pelamid;Bonito / Pelamid;Sarda sarda
Sardin;European pilchard;Sardina pilchardus
Salpa;Saupe;Sarpa salpa
Sarv;Common rudd;Scardinius erythrophthalmus
Medusafisk;Cornish blackfi sh;Schedophilus medusophagus
Spansk makrill;Spanish Mackerel;Scomber japonicus
Makrill;Atlantic mackerel;Scomber scombrus
Makrillgädda;Skipper (Saury Pike);Scomberesox saurus
Slätvar;Brill ;Scophthalmus rhombus
Småfläckig rödhaj;Small-spotted catshark;Scyliorhinus canicula
Storfläckig rödhaj;Nursehound;Scyliorhinus stellaris
Djuphavskungsfisk;Deepwater redfish;Sebastes mentella
Större kungsfisk;Rose fish;Sebastes norvegicus
Mindre kungsfisk;Norway haddock;Sebastes viviparus
Sepia elegans 10-armad bläckfisk;Cuttle-fish;Sepia elegans
Sidensepia;Common cuttlefish;Sepia officinalis
Sepia orbignyana;Pink Cuttlefish;Sepia orbignyana
Mal;Wels catfish;Silurus glanis
Tunga;Common sole;Solea solea
Ejder;Somateria mollissima;Somateria mollissima
Håkäring;Greenland shark;Somniosus microcephalus
Guldsparid;Gilthead;Sparus aurata
Hammarhaj;Smooth hammerhead;Sphyrna zyganena
Tångspigg;Fifteen-spined stickleback;Spinachia spinachia
Havsruda;Black Sea Bream;Spondyliosoma cantharus
Skarpsill;Sprat;Sprattus sprattus
Färna;European chub;Squalius cephalus
Pigghaj;Spurdog;Squalus acanthias
Havsängel;Angel shark;Squatina squatina
Småtärna;Sterna albifrons;Sterna albifrons
Skräntärna;Sterna caspia;Sterna caspia
Fisktärna;Sterna hirundo;Sterna hirundo
Silvertärna;Sterna paradisaea;Sterna paradisaea
Skärsnultra;Corkwing wrasse;Symphodus melops
Större kantnål;Greater pipefish;Syngnathus acus
Mindre kantnål;Lesser pipefish;Syngnathus rostellatus
Tångsnälla;Broadnosed pipefish;Syngnathus typhle
Oxsimpa;Sea scorpion;Taurulus bubalis
Leopardbult;Leopard-spotted goby;Thorogobius ephippiatus
Långfenad tonfisk;Long-fin Tunny;Thunnus alalunga
Blåfenad tonfisk;Atlantic bluefin tuna;Thunnus thynnus
Harr;Grayling;Thymallus thymallus
Sutare;Tench;Tinca tinca
Todarodes sagittatus;Todarodes sagittatus;Todarodes sagittatus
Todaropsis eblanae;Todaropsis eblanae;Todaropsis eblanae
Marmorerad darrocka;Marbled electric ray;Torpedo marmorata
Darrocka;Electric ray;Torpedo nobiliana
Pompano;Derbio;Trachinotus ovatus
Fjärsing;Greater weever;Trachinus draco
Vågmär;Deal-fish;Trachipterus arcticus
Taggmakrill;Trachurus;Trachurus trachurus
Tvärbandad knot;Streaked gurnard;Trigloporus lastoviza
Simpknot;Triglops murrayi;Triglops murrayi
Hornsimpa;Fourhorn sculpin;Triglopsis quadricornis
Vitlinglyra;Norway pout;Trisopterus esmarkii
Skäggtorsk;Bib;Trisopterus luscus
Glyskolja;Poor cod;Trisopterus minutus
Sillgrissla;Uria aalge;Uria aalge
Vimma;Vimba bream;Vimba vimba
Marmorkrabba;Xantho philipes;Xantho philipes
Svärdfisk;Swordfish;Xiphias gladius
Bergvar;Topknot;Zeugopterus punctatus
Sanktpersfisk;John Dory;Zeus faber
Tånglake;Eelpout;Zoarces viviparus
